,F1,F2,F3
"Порции в этом заведении достаточно большие, чтобы наесться [Усы лисы]",-0.15789680623891067,0.512568325782186,0.0995705273205277
"Порции в этом заведении достаточно большие, чтобы наесться [Столовая на БМ]",0.28174772419925737,0.41354626698097563,0.03871723765607792
"Порции в этом заведении достаточно большие, чтобы наесться [Теремок]",0.15492503819937853,0.10757938355247401,0.878726211111762
"Порции в этом заведении достаточно большие, чтобы наесться [Евразия]",0.24861735460759812,0.16391065895480061,0.45471636636846297
"Порции в этом заведении достаточно большие, чтобы наесться [Burger King в ТЦ Сенная]",0.7252496289555385,-0.27471235982553976,0.10118552172328826
"Порции в этом заведении достаточно большие, чтобы наесться [Rostic's в ТЦ Сенная]",0.7147578465939249,-0.3424466094684189,-0.028125701072084848
"Порции в этом заведении достаточно большие, чтобы наесться [Вкусно - и точка в ПИКе]",0.508222212440785,-0.05084084084651434,0.23163421016179644
У меня есть уверенность в свежести и безопасности продуктов в этом месте [Усы лисы],-0.25533588880017744,0.49698066120826034,-0.26433287680866285
У меня есть уверенность в свежести и безопасности продуктов в этом месте [Столовая на БМ],0.35785039510334066,0.7195788797799268,-0.24301015939182433
У меня есть уверенность в свежести и безопасности продуктов в этом месте [Теремок],0.6541806264498008,0.26977005266022835,0.49030603132187245
У меня есть уверенность в свежести и безопасности продуктов в этом месте [Евразия],0.6055264754530854,0.35360486978021344,0.23871670290773755
У меня есть уверенность в свежести и безопасности продуктов в этом месте [Burger King в ТЦ Сенная],0.7093487964721112,0.13403270500982606,0.1051057840354187
У меня есть уверенность в свежести и безопасности продуктов в этом месте [Rostic's в ТЦ Сенная],0.673396331303637,-0.09447023568337166,-0.05355415309627328
У меня есть уверенность в свежести и безопасности продуктов в этом месте [Вкусно - и точка в ПИКе],0.6561717751280638,0.10019539688927555,0.06593643996674639
После обеда здесь чувство сытости сохраняется до конца учебного дня [Усы лисы],-0.19903488915970213,0.5172524920176557,0.07739523572636463
После обеда здесь чувство сытости сохраняется до конца учебного дня [Столовая на БМ],0.24091665245958258,0.5467897767329953,0.029283174202659492
После обеда здесь чувство сытости сохраняется до конца учебного дня [Теремок],0.1415284715915227,0.2568004781592278,0.8474374920925407
После обеда здесь чувство сытости сохраняется до конца учебного дня [Евразия],0.25052280362502066,0.3245139029617981,0.39522882279982013
После обеда здесь чувство сытости сохраняется до конца учебного дня [Burger King в ТЦ Сенная],0.46650093243919805,0.29041890798484454,0.28841659175038203
После обеда здесь чувство сытости сохраняется до конца учебного дня [Rostic's в ТЦ Сенная],0.5613410591494162,0.08991416895347902,0.04549970315913994
После обеда здесь чувство сытости сохраняется до конца учебного дня [Вкусно - и точка в ПИКе],0.5006525479555174,0.2073936293292056,0.15974304431739203
В зале чистота и порядок [Усы лисы],-0.4306314094309597,0.6017478783622945,0.016942791162627875
В зале чистота и порядок [Столовая на БМ],0.5545188615308625,0.41398655537297796,-0.058161719045791045
В зале чистота и порядок [Теремок],0.7120427354645257,0.24236216141732464,0.40556264537243825
В зале чистота и порядок [Евразия],0.7009668006009383,0.27446883724035154,0.4171372194968176
В зале чистота и порядок [Burger King в ТЦ Сенная],0.31042525019938616,0.7082767648116659,0.10167921726609991
В зале чистота и порядок [Rostic's в ТЦ Сенная],0.3704384968695517,0.6143356071074138,0.019013882953207766
В зале чистота и порядок [Вкусно - и точка в ПИКе],0.3205228070564891,0.606397500334633,0.07837680599905696
Время ожидания заказа обычно не превышает 10-15 минут [Усы лисы],0.39482294086212877,0.5997091096607865,0.015233588398639503
Время ожидания заказа обычно не превышает 10-15 минут [Столовая на БМ],0.6127762680249896,0.41627178642812745,0.2616845745057939
Время ожидания заказа обычно не превышает 10-15 минут [Теремок],0.08086531033379045,0.5760588941886856,0.4310790216027805
Время ожидания заказа обычно не превышает 10-15 минут [Евразия],-0.1681637382945847,0.07274613069456401,0.48819845816005186
Время ожидания заказа обычно не превышает 10-15 минут [Burger King в ТЦ Сенная],0.4507034886643274,0.13712961163899667,0.2477787246226691
Время ожидания заказа обычно не превышает 10-15 минут [Rostic's в ТЦ Сенная],0.23896911134361062,-0.2884991460968637,0.45390472539143684
Время ожидания заказа обычно не превышает 10-15 минут [Вкусно - и точка в ПИКе],0.40915688805117156,0.2110731500868716,0.12216236159075733
"В этом заведении всегда быстрое обслуживание, даже в час-пик [Усы лисы]",-0.1483870201968127,0.5250662306428862,-0.2960510009779325
"В этом заведении всегда быстрое обслуживание, даже в час-пик [Столовая на БМ]",0.36293766278521855,0.5744462640280703,0.10267493872233466
"В этом заведении всегда быстрое обслуживание, даже в час-пик [Теремок]",0.178412832987073,0.4265572353302633,0.39943985590376113
"В этом заведении всегда быстрое обслуживание, даже в час-пик [Евразия]",0.356586324254626,0.2855114906719089,0.13570839285180622
"В этом заведении всегда быстрое обслуживание, даже в час-пик [Burger King в ТЦ Сенная]",0.5285265567018095,-0.020654978467002743,0.17215489558029048
"В этом заведении всегда быстрое обслуживание, даже в час-пик [Rostic's в ТЦ Сенная]",0.45988834731151734,0.05884867957755773,0.21152037356953637
"В этом заведении всегда быстрое обслуживание, даже в час-пик [Вкусно - и точка в ПИКе]",0.5566263921501954,0.39738805681858397,-0.021251936043616693
